,Team,Player,Mouse,Hz,DPI,Sens,eDPI,Scoped Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
,Free Agent,Yacine,Logitech G Pro Wireless,1000,800,0.25,200,1,ZOWIE XL2546,1920x1080,QPAD FX 50,Custom Keyboard,HyperX Cloud II
,Free Agent,vice,Logitech G Pro Wireless,1000,800,0.245,196,1,ZOWIE XL2546,1280x960,HyperX Fury S Speed Edition,Logitech G915 TKL Carbon,HyperX Cloud Revolver S
,Free Agent,babybay,G-Wolves Hati S+ 4K,1000,800,0.2,160,1,ZOWIE XL2546,1920x1080,Lethal Gaming Gear Saturn,Logitech G Pro X Keyboard,HyperX Cloud Alpha
,Free Agent,dimasick,Razer Deathadder V3 Pro Black,1000,400,0.75,300,1,ZOWIE XL2546,1280x960,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud Alpha
,Free Agent,ZachaREEE,FinalMouse Starlight-12,1000,800,0.52,416,1,ASUS ROG SWIFT PG258Q,1920x1080,ZOWIE G-SR-SE Deep Blue,Varmilo VA87M Summit,Sennheiser GAME ONE
,Free Agent,BraveAF,Logitech G Pro X Superlight Black,1000,400,0.785,314,1,ZOWIE XL2546K,1920x1080,SteelSeries QcK Heavy,Fnatic STREAK65 LP,Logitech G Pro X Headset
,Free Agent,PoPiFresH,VAXEE OUTSET AX Funspark,1000,800,0.39,312,1,ZOWIE XL2566K,1920x1080,VAXEE PA FunSpark,Razer Huntsman Mini,HyperX Cloud II
,Free Agent,Wardell,Logitech G Pro X Superlight Black,1000,400,0.691,260.8,1.15,ZOWIE XL2566K,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
,Free Agent,rin,VAXEE ZYGEN NP-01S Wireless Orange,,,,,,ZOWIE XL2566K,,VAXEE PA Pcute,Logitech G715,
,Free Agent,gtnziN,Logitech G Pro X Superlight Black,1000,400,0.580,232,1,AOC G2460PF,1680x1050,ESPTIGER LongTeng,Razer Blackwidow Chroma TE V2,HyperX Cloud Alpha
,Free Agent,koldamenta,Razer Deathadder V3 Pro White,1000,800,0.3,240,1,ASUS ROG XG258Q,1440x900,Logitech G640 Original,Logitech G512,Logitech G Pro X Headset
,Free Agent,H1ber,Logitech G Pro X Superlight Black,1000,400,0.67,268,1,ZOWIE XL2566K,1440x1080,Logitech G640 Original,Logitech G Pro Keyboard,HyperX Cloud II
,Free Agent,Suggest,Logitech G Pro X Superlight Magenta,1000,1600,0.15,240,1,Alienware AW2518H,1280x960,XTEN Control,Logitech G915,Logitech G Pro X Headset
,Free Agent,JoXJo,Logitech G Pro X Superlight Black,1000,800,0.355,284,1,ZOWIE XL2566K,1280x960,Artisan FX Hien Soft,Wooting 60 HE,
,Free Agent,Subroza,Logitech G Pro X Superlight Black,1000,800,0.277,221.6,1,ZOWIE XL2566K,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
,Free Agent,Thwifo,Logitech G Pro Wireless,1000,800,0.28,224,1.0,Alienware AW2521HF,1600x900,SteelSeries QcK+,SteelSeries Apex Pro TKL,Sennheiser GAME ONE
,Free Agent,Sylvan,Logitech G Pro X Superlight White,1000,800,0.27,216,1,,,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,ASTRO A50
,Free Agent,eko,ZOWIE EC2-CW,1000,800,0.32,256,1,,,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,Corsair Void RGB Elite White
,Free Agent,TS,Logitech G Pro X Superlight White,1000,400,0.583,233,1,ASUS ROG XG258Q,1920x1080,ZOWIE G-SR,Logitech G915 TKL Carbon,Logitech G Pro X Headset
,Free Agent,Yassa,Logitech G Pro X Superlight Magenta,1000,800,0.23,184,1,GIGABYTE AORUS FI25F,1920x1080,Logitech G640 Original,Logitech G Pro Keyboard,Logitech G Pro X Wireless Headset
,Free Agent,clear,Razer Viper V3 Hyperspeed,1000,1600,0.12,192,0.7,,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,beyerdynamic DT 770 Pro
,Free Agent,BabyJ,Razer Deathadder V3 Pro Black,4000,1600,0.104,166.40,1,ZOWIE XL2546,1280x960,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud II
,Free Agent,Eggster,Logitech G Pro X Superlight Black,1000,1600,0.15,240,1,,1920x1080,HyperX Fury S Pro XL,Redragon K552 Kumara,HyperX Cloud II Wireless
,Free Agent,KRYPTIX,ZOWIE EC2-CW,1000,400,0.471,188.4,0.8,ZOWIE XL2566K,1920x1080,Zowie G-SR II,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black
,Free Agent,astr0,Razer Viper V3 Pro White,4000,400,0.56,224,1.5,ZOWIE XL2546K,1280x960,Artisan Ninja FX Zero Soft,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro Black
,Free Agent,bryce,Razer Viper V3 Pro White,1000,1600,0.2,320,1,ZOWIE XL2566K,1920x1080,Razer Gigantus V2,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro White
,Free Agent,Riza,Razer Viper V3 Pro White,4000,1600,0.11,176,1,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero Soft,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro White
,Free Agent,Bazzi,Logitech G Pro X Superlight Black,1000,1600,0.17,272,0.75,Alienware AW2518H,1920x1080,HyperX Fury S Pro XL,Logitech G Pro X Keyboard,SteelSeries Arctis Pro Wireless
,Free Agent,dicey,Razer DeathAdder V3 Pro Faker Edition,4000,800,0.32,256.00,1,ZOWIE XL2546K,1920x1080,Yuki Aim Oni Black,Ducky One 2 Mini,Sennheiser GAME ONE
,Free Agent,wippie,ZOWIE EC1-CW,1000,800,0.861,688.80,0.948,ZOWIE XL2566K,1024x768,Logitech G640 NAVI,Logitech G915,Logitech G Pro X Wireless Headset
,Free Agent,FirstLove,Razer Viper V3 Pro White,2000,800,0.5,400,1.1,ZOWIE XL2546K,1920x1080,Yuki Aim Katana XL,Razer Huntsman V3 Pro TKL Black,HyperX Cloud III Wireless
,Free Agent,Marved,Razer Viper V3 Pro White,1000,800,0.306,244.8,1,ZOWIE XL2566K,1920x1080,Artisan Hayate Otsu Soft,Wooting 60 HE,Razer BlackShark V2
,Free Agent,ngiN,Razer Deathadder V3 Pro Black,1000,800,0.244,195.2,1,ZOWIE XL2566K,1920x1080,VAXEE PA Summer22,Razer BlackWidow V3 Pro,HyperX Cloud II
,Free Agent,Cutler,Logitech G Pro X Superlight Black,1000,800,0.3,240,1,ZOWIE XL2546,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
,Free Agent,frz,Razer Viper V3 Pro Black,1000,800,0.32,256,1,ZOWIE XL2546,1920x1080,VAXEE PA Black,Logitech G915 TKL Carbon,HyperX Cloud II
,Free Agent,fl1pzjder,Finalmouse Ultralight X Medium,1000,400,0.534,213.6,0.7,,1920x1080,VAXEE PA FunSpark V2,,
,Free Agent,nukkye,Razer Viper V3 Pro Black,2000,1600,0.175,280,1,ZOWIE XL2566K,1920x1080,Logitech G640 Original,Wooting 60 HE,Logitech G Pro X Headset
,Free Agent,roxie,Razer Deathadder V3 Pro White,1000,800,0.25,200,1,ZOWIE XL2546K,1280x960,Razer Gigantus V2,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro White
,Free Agent,Alone,Razer Viper V3 Pro White,1000,800,0.4,320,1,ZOWIE XL2546,1280x960,Razer Gigantus V2,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro White
,Free Agent,wLn,Razer Viper V3 Pro White,1000,800,0.5,400,1,ZOWIE XL2546,1280x1024,Razer Gigantus V2,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro White
,Free Agent,misu,Razer Viper V3 Pro White,4000,1600,0.16,256,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,SteelSeries Arctis Nova Pro
,Free Agent,PROD,Logitech G Pro X Superlight White,1000,800,0.52,416.00,1.1,Alienware AW2518H,1920x1080,TT Esports Dasher,Matrix x sinatraa Keyboard,HyperX Cloud II
,Free Agent,paTiTek,Logitech G Pro X Superlight 2 White,1000,800,0.35,280.00,1,AOC AG251FZ2E,1280x960,VAXEE PA ZYGEN,Razer Huntsman V3 Pro TKL Black,Logitech G Pro X Headset
,Free Agent,ScreaM,FinalMouse Starlight Pro,1000,1600,0.184,295.6,1,Alienware AW2521H,1920x1080,Artisan Shidenkai V2 XSoft Snow White,Logitech G915 TKL Carbon,Logitech G Pro X Headset
,Free Agent,xms,Razer Deathadder V3 Pro White,4000,800,0.45,360,1,ZOWIE XL2540,1920x1080,Logitech G640 Original,Ducky One 2,HyperX Cloud II
,Free Agent,qck,Razer Viper Mini Signature Edition,1000,1600,0.28,448.00,1,ZOWIE XL2566K,1920x1080,Yuki Aim Kitsune,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro White
,Free Agent,k1Ng,ZOWIE EC2-CW,1000,400,0.38,152.00,0.95,ZOWIE XL2546S,1280x960,VAXEE PA Winter22,Corsair K70 RGB,HyperX Cloud II
,Free Agent,Ender,Razer Viper V3 Pro White,1000,1600,0.1,160,1,ZOWIE XL2546,1920x1080,Razer Gigantus V2,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro White
,Free Agent,Dzii,Razer Viper V3 Pro White,1000,800,0.275,220,1,ZOWIE XL2546,1920x1080,Razer Strider,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro White
,Free Agent,kon4n,Logitech G Pro X Superlight Black,1000,800,0.44,352,,,,Artisan Ninja FX Zero Soft,,
,Free Agent,AslaN,Razer Deathadder V3 Pro Black,1000,400,0.6,240,1,ZOWIE XL2546K,1920x1080,Razer Gigantus V2,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black
,Free Agent,Sevkaan,Logitech G Pro X Superlight Black,1000,800,0.37,296,0.53,Acer Nitro XV252QF,1920x1080,,Wooting 60 HE,Logitech G Pro X Wireless Headset
,Free Agent,treelover,Razer Viper V3 Pro Black,2000,1600,0.15,240,1,ZOWIE XL2546K,1280x960,Lethal Gaming Gear Saturn Pro,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro White
,Free Agent,AdrianL,Razer Viper V3 Pro Black,2000,1600,0.15,240,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro Black
,Content Creator,GodDead,Logitech G Pro X Superlight Black,1000,400,0.691,276,1,ZOWIE XL2546S,1920x1080,SteelSeries QcK+,Varmilo VA87M Beijing Opera,HyperX Cloud Revolver S
,Content Creator,Dizzy,Endgame Gear OP1 8k Black,2000,800,0.35,280,1,ZOWIE XL2546,1920x1080,ZOWIE G-SR-SE Rouge,SteelSeries Apex Pro TKL,
,Content Creator,XAROLA,Razer Deathadder V3 Pro Black,4000,1600,0.2,320.00,,AOC 24G2Z,1920x1080,Yuki Aim Katana XL,,ASTRO A50
,Content Creator,Vorwenn,Razer Viper V3 Pro Black,1000,800,0.4,320,1,ZOWIE XL2540K,1280x960,Artisan Ninja FX Zero XSoft,Razer Huntsman TE,HyperX Cloud Alpha S
,Content Creator,Kyedae,Logitech G Pro X Superlight Black,1000,1600,0.23,368,1,ZOWIE XL2586X,1920x1080,ZOWIE G-SR-SE Gris,Wooting 60 HE,Xtrfy H1
,Content Creator,Drakonz,Razer Viper Ultimate,1000,800,0.346,274.8,1,ZOWIE XL2546,1920x1080,Artisan Ninja FX Zero Soft,SteelSeries Apex Pro TKL,HyperX Cloud Alpha
,Content Creator,sinatraa,Logitech G Pro X Superlight 2 White,1000,800,0.387,309.6,1,ZOWIE XL2546,1920x1080,Logitech G640 Original,Matrix x sinatraa Keyboard,HyperX Cloud II
,Content Creator,Horcus,Razer Viper Ultimate,1000,800,0.315,252,1,ZOWIE XL2546,1920x1080,GIGABYTE AORUS AMP500,Razer Huntsman Elite,HyperX Cloud II
,Solary,memset,Logitech G Pro X Superlight Black,1000,400,0.39,156,,ZOWIE XL2546K,1920x1080,Razer Gigantus V2,Razer Huntsman TE,Razer BlackShark V2
,Solary,iDex,VAXEE ZYGEN NP-01S Wireless Black,1000,800,0.35,280,1,ZOWIE XL2566K,1920x1080,ZOWIE G-SR-SE Blue,Wooting 60 HE,Razer BlackShark V2 Pro Black
,Fusion Esports,Tacolilla,Logitech G Pro X Superlight Black,1000,800,0.47,376,1,ZOWIE XL2546K,1680x1050,VAXEE PA P22,Razer Huntsman TE,Logitech G Pro X Headset
,Riddle Order,Seoldam,Razer Viper V3 Pro Black,1000,1600,0.16,256.00,0.95,ZOWIE XL2566K,1920x1080,SteelSeries QcK Heavy,Razer Huntsman V3 Pro Mini,Logitech G Pro X Wireless Headset
,DVM Esports,keloqz,Logitech G Pro X Superlight Black,1000,400,0.44,176,1,ZOWIE XL2546K,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Wireless Headset
,DVM Esports,szimpli,Logitech G Pro X Superlight 2 Magenta,4000,800,0.205,164,0.887,ZOWIE XL2566K,1280x960,Artisan Ninja FX Zero Mid Orange,Wooting 60 HE,Logitech G Pro X Headset
,Titan Esports Club,Rb,Razer Viper V3 Pro White,2000,1600,0.175,280.00,1,ZOWIE XL2566K,1920x1080,Razer Strider,Razer Huntsman V3 Pro Mini,Razer BlackShark V2
,Eintracht Frankfurt,xanarchy,Razer Deathadder V3 Pro Black,1000,800,0.4325,346,0.7,ZOWIE XL2566K,1920x1080,VAXEE PA ZYGEN,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black
,Eintracht Frankfurt,luckeRRR,Razer Deathadder V3 Pro Black,8000,800,0.39,312,1,ZOWIE XL2546K,1920x1080,Razer Gigantus V2,Razer Huntsman V3 Pro,Razer BlackShark V2 Pro Black
,Ramboot Club,neptuNo,Logitech G305,1000,800,0.3,240,1,ZOWIE XL2566K,1600x900,ZOWIE G-SR-SE Rouge,Ducky One 2 TKL,Logitech G Pro X Headset
,Ramboot Club,jannyXD,Razer Viper V2 Pro Black,1000,400,0.520,208,1,ZOWIE XL2546K,1280x768,Razer Gigantus V2,Razer BlackWidow V3 TKL,Razer BlackShark V2 Pro Black
,GAMAX Esports,Sher1o,Razer Deathadder V3 Pro Black,1000,1600,0.2,320,1,ZOWIE XL2546K,1920x1080,,Wooting 60 HE,Razer BlackShark V2 Pro Black
,GAMAX Esports,RockeT,Logitech G Pro X Superlight Black,1000,800,0.25,200,1,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud II
,Maryville Esports,jcStani,Lamzu Atlantis,,800,0.4,320,1.00,,1920x1080,Logitech G640 Original,Wooting 60 HE,Audio-Technica ATH-M50X
,Maryville Esports,ec1s,Logitech G Pro X Superlight Black,1000,800,0.314,251.2,1,ZOWIE XL2566K,1920x1080,Lethal Gaming Gear Saturn Pro,Razer Huntsman V3 Pro TKL Black,HyperX Cloud II
,Valiant,d3ffo,VAXEE ZYGEN NP-01,1000,800,0.51,408,1,ZOWIE XL2546,1280x960,VAXEE PA ZYGEN,Logitech G Pro Keyboard,Sennheiser GAME ZERO
,Valiant,Ambi,Logitech G Pro X Superlight White,1000,400,0.41,164,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero XSoft,Corsair STRAFE,HyperX Cloud II
,Oasis Gaming,DubsteP,Finalmouse Starlight-12 Phantom,1000,800,0.47,376,1.15,ZOWIE XL2546K,1920x1080,Corsair MM350 Champion Series,Corsair K70 RGB TKL,Corsair HS80 Wireless
,ZERANCE,UNFAKE,Logitech G Pro X Superlight Black,1000,800,0.3,240,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,,HyperX Cloud II
,YFP Gaming,penny,Logitech G Pro X Superlight Black,1000,800,0.35,280,1,,1920x1080,HyperX Fury S Pro,HyperX Alloy Elite,HyperX Cloud II
,YFP Gaming,jakee,Logitech G Pro X Superlight Black,1000,800,0.217,173.6,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud II Pink
,Moist x Shopify,v1c,Logitech G Pro X Superlight White,1000,800,0.196,156.8,1,ZOWIE XL2546K,1920x1080,SteelSeries QcK Heavy,Corsair K63,HyperX Cloud II Wireless
,GIANTX,Fit1nho,Logitech G Pro X Superlight Black,1000,800,0.314,251.2,,ZOWIE XL2566K,1920x1080,Lethal Gaming Gear Saturn Pro Red,Wooting 60 HE,HyperX Cloud II
,GIANTX,Cloud,Logitech G Pro X Superlight Black,1000,800,0.35,280,1,ZOWIE XL2566K,1920x1080,VAXEE PA FunSpark V2,Wooting 60 HE,HyperX Cloud II Pink
,GIANTX,Redgar,VAXEE XE Wireless Black,1000,800,0.27,216,1,ZOWIE XL2546K,1920x1080,ZOWIE G-SR-SE Deep Blue,Logitech G Pro X Keyboard,Logitech G Pro X Headset
,GIANTX,purp0,Logitech G Pro X Superlight 2 White,2000,800,0.35,280,0.8,ZOWIE XL2546K,1280x960,Artisan Ninja FX Zero XSoft Orange,Wooting 60 HE,HyperX Cloud II Pink
,GIANTX,hoody,Razer Viper V3 Pro White,1000,400,0.628,251.2,1,ZOWIE XL2566K,1920x1080,Logitech G640 Original,,Logitech G Pro X Headset
,RETA Esports,delz1k,Logitech G Pro X Superlight Black,1000,400,0.72,288,1,ZOWIE XL2546K,1920x1080,VAXEE PA Black,HyperX Alloy FPS Pro,HyperX Cloud Flight
,RETA Esports,murizzz,Logitech G Pro X Superlight Black,1000,800,0.45,360,0.82,AlienWare AW2518HF,1920x1080,VAXEE PA Black,Logitech G Pro Keyboard,Logitech G Pro X Wireless Headset
,RETA Esports,NagZet,ZOWIE EC2-CW,1000,400,0.58,232,1,ZOWIE XL2546K,1920x1080,VAXEE PA FunSpark V2,Logitech G915 TKL Carbon,HyperX Cloud Flight
,SZK Esports,jonba,Logitech G Pro X Superlight Black,1000,800,0.27,216,1,ZOWIE XL2540,1680x1050,ZOWIE G-SR-SE Blue,Razer Huntsman Mini,HyperX Cloud Alpha
,Murash Gaming,Reita,VAXEE ZYGEN NP-01S Wireless Black,1000,1600,0.15,240,0.9,ZOWIE XL2546,1280x960,SteelSeries QcK Heavy,Logitech G915 TKL Carbon,Logitech G Pro X Headset
,NASR Esports,7ssk7,Finalmouse Ultralight X Medium,4000,1600,0.14,224.00,1,ASUS ROG SWIFT PG259QN,1600x900,Artisan Ninja FX Zero Soft Orange,Wooting 60 HE,beyerdynamic DT 770 Pro
,HERO Base,dgzin,Logitech G Pro X Superlight 2 Black,2000,400,0.32,128.00,1,ZOWIE XL2546K,1280x768,Lethal Gaming Gear Saturn Pro,SteelSeries Apex Pro TKL (2023),
,Lucky7,Will,Logitech G Pro X Superlight Black,1000,800,0.4,320,1,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero Mid,Ducky One 2 TKL White,EPOS H6PRO White
,Lucky7,Kanpeki,Lamzu Atlantis 4K,1000,800,0.32,256,1,ZOWIE XL2546 Divina Pink,1920x1080,Artisan Ninja FX Zero Soft,Custom Keyboard,Razer BlackShark V2 Pro Black
,Xipto Esports,enerii,Razer Viper V3 Pro White,8000,800,0.24,192.00,1,ZOWIE XL2546K,1440x1080,Artisan Ninja FX Zero Soft,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro Black
,Xipto Esports,Alexy,Razer Viper V3 Pro White,8000,1600,0.15,240,1,ZOWIE XL2546K,1680x1050,Artisan Ninja FX Zero XSoft,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black
,Xipto Esports,shirazi,Razer Viper V3 Pro White,4000,800,0.32,256,1,ZOWIE XL2546K,1680x1050,Artisan Ninja FX Zero XSoft,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro Black
,Xipto Esports,Kamiyu,Razer Viper V3 Pro White,4000,1600,0.159,254.4,1,ZOWIE XL2546K,1280x1024,Artisan Ninja FX Zero XSoft,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro Black
,Xipto Esports,Tarathiel,Razer Viper V3 Pro White,4000,800,0.6,480,1,AOC 24G2Z,1920x1080,VAXEE PA Winter22,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black
,NEXGA,kayle,Razer Viper V3 Pro White,8000,800,0.25,200,1.1,ZOWIE XL2566K,1920x1080,Razer Strider,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro White
,NEXGA,splash,Razer Viper V3 Pro White,8000,1600,0.1,160,1,AOC 24G2Z,1920x1080,Razer Strider,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro Black
,NEXGA,aduka,Razer Viper V3 Pro White,8000,1600,0.21,336,1.1,ZOWIE XL2546,1680x1050,Razer Strider,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black
,NEXGA,aplycs,Razer Viper V3 Pro White,8000,1600,0.095,152,1,Acer Predator XB241H,1920x1080,Razer Strider,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro White
,NEXGA,Mojo,Razer Viper V3 Pro White,8000,1600,0.3,480,1,ZOWIE XL2546,1280x960,Razer Strider,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro White
,NEXGA,Hakka,Razer Viper V3 Pro Black,8000,800,0.27,216,1,ZOWIE XL2546,1920x1080,Razer Strider,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black
,Ender,teddy,Razer Viper V3 Pro White,4000,800,0.16,128,0.8,Acer Nitro XV252QF,1280x1024,Razer Gigantus V2,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro White
,Kizuna Esports,SHINSEI,Razer Viper V3 Pro White,4000,1000,0.35,350,1,ZOWIE XL2546K,1440x1080,Razer Strider,Razer Huntsman V3 Pro TKL White,Razer BlackShark V2 Pro Black
,Kizuna Esports,ESMONDE,Razer Viper V3 Pro White,4000,800,0.26,208,1,Acer Nitro XV252QF,1920x1080,Razer Strider,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black
,Kizuna Esports,Kairo,Razer Viper V3 Pro White,4000,800,0.3,240,1,ZOWIE XL2546K,1920x1080,Razer Strider,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black
,Kizuna Esports,Reverie,Razer Viper V3 Pro White,4000,800,0.28,224,1,ZOWIE XL2546K,1920x1080,Razer Strider,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro Black
,Kizuna Esports,Ender,Razer Viper V3 Pro White,4000,800,0.2,160,1,ZOWIE XL2546K,1920x1080,Razer Strider,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black
,DRX Changers,YOME,Razer Viper V3 Pro White,2000,400,0.535,214,0.8,Acer Predator XB252Q,1920x1080,Razer Gigantus V2,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black
,DRX Changers,Ache,Razer Viper V3 Pro White,8000,1600,0.17,272,0.875,ZOWIE XL2540K,1920x1080,Artisan FX Hien Soft,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro Black
,DRX Changers,bes,Razer Viper V3 Pro White,4000,800,0.284,227.2,1,ZOWIE XL2540K,1920x1080,Lethal Gaming Gear Saturn,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black
,DRX Changers,Healing,Razer Viper V3 Pro White,8000,800,0.343,274.4,1.1,ZOWIE XL2540K,1920x1080,Artisan Ninja FX Zero Soft,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black
,DRX Changers,SeoeuN,,8000,800,0.38,304,1,,1920x1080,,,
,DRX Changers,Aika,Razer Viper V3 Pro White,8000,800,0.3,240,1,ASUS TUF VG259QM,1920x1080,ZOWIE G-SR-SE Rouge,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black
,DRX Changers,YuRiHaNa,,,400,0.565,226,1,,1920x1080,,,
,St. Clair Saints,geeza,VAXEE XE Black,1000,800,0.244,195.2,1,AlienWare AW2518HF,1920x1080,Artisan FX Hien Soft,Wooting 60 HE,HyperX Cloud II
,LAZE,lenne,Razer Deathadder V3 Pro Black,4000,800,0.28,224,1,ZOWIE XL2566K,1152x864,Artisan Ninja FX Zero XSoft,Razer Huntsman V3 Pro Mini,HyperX Cloud II
,Ninjas in Galaxy,shiba,Razer Viper V3 Pro Black,4000,1600,0.3,480,1,ZOWIE XL2546K,1920x1080,Artisan Hayate Otsu Soft,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro White
,Ninjas in Galaxy,joshh,Razer Viper V3 Pro White,1000,800,0.38,304,1,ZOWIE XL2566K,1920x1080,Razer Gigantus V2,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro White
